Consommation des téléviseurs
55.2
311.0
274.3
297.3
158.8
232.4
0.0
175.2
162.5
147.6
182.4
68.3
36.7
214.8
307.8
180.0
277.0
144.1
393.0
169.5
724.3
72.1
75.5
64.5
350.8
1143.0
108.6
142.8
365.0
437.6
95.5
68.4
118.2
98.5
391.7
83.9
130.8
156.7
82.1
242.2
198.2
105.9
54.5
207.8
66.8
27.6
136.5
92.7
145.7
62.0
177.9
151.8
33.2
334.7
63.7
634.2
112.0
107.9
86.0
139.2
237.1
295.9
412.0
118.5
76.1
184.2
328.5
24.1
131.0
3.2
201.5
85.4
279.6
388.1
258.0
115.4
26.2
116.1
20.1
124.8
24.9
104.5
47.2
50.8
208.6
130.0
102.5
132.6
354.9
553.7
37.6
13.9
49.0
22.5
132.7
5.1
33.6
153.3
24.6
0.0
81.6
230.5
10.4
3.5
380.6
47.1
193.6
0.7
62.0
48.6
3.4
73.6
34.8
11.3
